"date","pd","time","team","g_id","g_last","g_first","a1_id","a1_last","a1_first","a2_id","a2_last","a2_first"
"2016-11-21","2","19:11","NYR",5161,"Miller","J.T.",5461,"Hayes","Kevin",NA,NA,NA
"2016-11-21","3","12:46","NYR",5461,"Hayes","Kevin",4852,"McDonagh","Ryan",NA,NA,NA
"2016-11-21","3","18:37","NYR",4885,"Stepan","Derek",319,"Nash","Rick",4688,"Grabner","Michael"
"2016-11-23","1","4:22","NYR",319,"Nash","Rick",5104,"Kreider","Chris",4927,"Zuccarello","Mats"
"2016-11-23","2","2:02","PIT",5492,"Wilson","Scott",4008,"Kessel","Phil",4775,"Bonino","Nick"
"2016-11-23","2","4:58","PIT",3490,"Crosby","Sidney",4905,"Cole","Ian",NA,NA,NA
"2016-11-23","2","10:12","PIT",4008,"Kessel","Phil",4775,"Bonino","Nick",NA,NA,NA
"2016-11-23","2","12:57","PIT",3490,"Crosby","Sidney",4030,"Letang","Kris",NA,NA,NA
"2016-11-23","2","16:42","PIT",5892,"Sheary","Conor",3490,"Crosby","Sidney",5038,"Hagelin","Carl"
"2016-11-23","3","13:05","PIT",257,"Cullen","Matt",5118,"Schultz","Justin",3819,"Fehr","Eric"
"2016-11-25","1","0:40","MIN",5124,"Coyle","Charlie",3502,"Parise","Zach",NA,NA,NA
"2016-11-25","1","8:09","MIN",4868,"Niederreiter","Nino",5123,"Brodin","Jonas",3763,"Koivu","Mikko"
"2016-11-25","1","13:26","PIT",4008,"Kessel","Phil",3652,"Malkin","Evgeni",11327,"Guentzel","Jake"
"2016-11-25","1","19:37","MIN",5124,"Coyle","Charlie",NA,NA,NA,NA,NA,NA
"2016-11-25","2","15:12","MIN",3502,"Parise","Zach",247,"Staal","Eric",3714,"Suter","Ryan"
"2016-11-25","2","18:40","MIN",5126,"Granlund","Mikael",5093,"Zucker","Jason",5123,"Brodin","Jonas"
"2016-11-25","3","5:50","PIT",5500,"Rust","Bryan",5492,"Wilson","Scott",4775,"Bonino","Nick"
"2016-11-25","3","11:25","MIN",4868,"Niederreiter","Nino",5126,"Granlund","Mikael",5123,"Brodin","Jonas"
"2016-11-26","1","3:33","NJD",721,"Cammalleri","Mike",4796,"Palmieri","Kyle",NA,NA,NA
"2016-11-26","2","1:23","PIT",11327,"Guentzel","Jake",3652,"Malkin","Evgeni",701,"Daley","Trevor"
"2016-11-26","2","2:38","PIT",5907,"Kuhnhackl","Tom",3652,"Malkin","Evgeni",5181,"Oleksy","Steve"
